IID	C1	C2	C3
PD18733a	-0.00521899	-0.00721771	-9.02813e-07
PD18734a	-0.00576785	-0.00172001	-0.00279619
PD18748a	-0.0049727	-0.00177711	-0.000796517
PD18749a	-0.00387018	0.00461931	-0.0048433
PD18751a	-0.00864707	-0.00291787	0.000182735
PD18754a	-0.00636634	0.00664692	-0.0135782
PD18756a	-0.00741575	0.00105361	0.00128368
PD18768a	-0.00454053	-0.00983864	0.00657981
PD18769a	-0.00706997	0.00180339	0.00707156
PD18771a	-0.00481771	-0.000762939	-0.00115461
PD18775a	-0.00649897	-0.00176888	0.00802526
PD18776a	-0.013895	0.0365111	-0.0302455
PD3851a	-0.00261865	-0.0181468	0.00951267
PD3890a	0.025618	0.0168982	0.0383354
PD3904a	0.00260241	-0.0160328	0.00697202
PD3905a	-0.00477	-0.0113397	0.00809053
PD3989a	-0.00682043	-0.0035595	0.0074746
PD4069a	-0.00660088	-0.00476498	0.00729996
PD4085a	0.0106765	-0.00476122	0.0148052
PD4086a	0.0581017	0.0584246	0.0643044
PD4088a	-0.00329967	-0.00194084	0.0053267
PD4103a	-0.00519783	-0.0126841	0.00354255
PD4107a	-0.000392035	-0.0151646	0.00150065
PD4115a	0.000695439	-0.0215099	0.0100282
PD4116a	0.00624848	-0.0189132	0.00798922
PD4194a	-0.00314793	-3.95045e-05	0.0092551
PD4198a	-0.00319684	-0.00583367	0.00773605
PD4199a	-0.00257467	-0.00640639	0.00766189
PD4225a	-0.00739345	4.67195e-05	0.00302817
PD4248a	-0.00454386	-0.00594195	0.0082901
PD4252a	0.0435822	-0.00904061	-0.00106712
PD4255a	-0.00365286	-0.0112076	0.0106338
PD4261a	-0.00420776	-0.00358482	0.00538905
PD4264a	-0.00496401	-0.00960412	0.0031427
PD4266a	-0.00421372	-0.000873719	0.0100451
PD4267a	-0.00209671	-0.0025562	0.0111832
PD4607a	-0.00681127	-0.00359629	0.00637552
PD4826a	-0.00506233	-0.00860006	0.00766665
PD4833a	-0.00240112	-0.00555649	-0.00114298
PD4836a	0.000748931	-0.00851347	0.0137684
PD4841a	-0.00360382	-0.0100253	-0.00225288
PD4872a	-0.00887871	0.00430266	-0.00550047
PD4874a	-0.00414586	-0.00875695	0.00548443
PD4875a	-0.00463797	-0.0124618	0.00291969
PD4876a	-0.00615427	-0.0115271	0.00315391
PD4951a	-0.00554497	-0.00654117	0.00524106
PD4952a	-0.00304553	-0.0175268	0.00321153
PD4953a	-0.00703421	-0.00674025	0.00722128
PD4954a	-0.00604673	-0.0113307	0.00835837
PD4956a	0.000739395	-0.0219253	0.00256187
PD4957a	-0.00518108	-0.0067456	0.00491612
PD4958a	-0.00509985	-0.010012	0.0074818
PD4959a	-0.00300999	-0.00852364	0.00765625
PD4962a	-0.00414754	-0.00883693	0.00723376
PD4965a	-0.00544735	-0.00350961	0.00643877
PD4967a	-0.00524237	-0.0028664	0.0086046
PD4968a	-0.000592052	-0.0133124	0.00521622
PD4970a	-0.00638482	-0.00696657	0.0070094
PD4971a	-0.00196804	-0.0192448	0.00445977
PD4972a	-0.00756513	-0.00352254	0.00850428
PD4975a	-0.00325281	-0.00882785	0.012149
PD4976a	0.00277585	-0.0195312	0.00370675
PD4977a	0.0170587	-0.00301184	0.00271447
PD4978a	0.00783758	-0.00616328	0.00372806
PD4980a	-0.00378286	-0.0119891	-0.00176399
PD4981a	-0.00475486	-0.00492356	0.00554249
PD4982a	-0.00702419	-0.00326766	0.00727771
PD4983a	-0.0107999	0.0154775	-0.009532
PD4985a	-0.00510215	-0.00449022	0.0065968
PD4986a	-0.00620381	-0.00381154	0.00561402
PD5928a	0.00761729	0.00840151	0.0159645
PD5930a	-0.00704809	-0.00178781	-0.00281784
PD5932a	-0.00101284	-0.0159227	0.00941421
PD5934a	0.0031839	-0.0228534	0.00596726
PD5935a	0.00257034	-0.0227162	0.00142043
PD5936a	0.000381808	-0.0130464	0.00266363
PD5937a	-0.00750229	0.0033878	0.000400189
PD5942a	0.00556322	-0.0435159	0.00700054
PD5944a	0.00185199	-0.0267979	0.0115811
PD5945a	0.00693359	-0.043212	0.00564044
PD5947a	-0.00856937	0.0180391	-0.0145647
PD5948a	0.00497391	-0.0372133	0.00701736
PD5950a	-0.00420023	-0.00793816	0.00599844
PD5951a	0.00364647	-0.00371521	0.00663624
PD5953a	-0.00235143	-0.00622912	0.00950132
PD5956a	0.000481359	-0.0141599	0.00430999
PD5959a	-0.00546566	-0.00220918	0.00303239
PD5960a	-0.00322453	-0.00119288	0.0106601
PD5961a	0.00614372	0.00257757	0.0128526
PD5964a	0.00142968	0.00420235	0.0126839
PD6016a2	-0.000259743	0.00188608	0.0127423
PD6041a	-0.00457231	-0.00307491	0.0109609
PD6044a	-0.00570648	-0.00340003	0.0119383
PD6045a	-0.00164	-0.00507364	0.00705322
PD6046a	-0.00397622	-0.00747658	0.010674
PD6047a	-0.000229098	-0.0271393	-0.0168116
PD6406a	-0.00717361	-0.0012837	0.00562507
PD6409a	-0.0029911	-0.00924794	0.00886515
PD6410a	-0.00479066	-0.0133867	0.00949996
PD6411a	-0.00395122	-0.00827332	0.00851352
PD6413a	-0.00418881	-0.00900125	0.00850457
PD6417a	-0.00376002	-0.00616039	0.00063897
PD6418a	0.0187282	0.00381552	0.0194187
PD6422a	-0.0030284	-0.00828588	0.00897152
PD6719a	-0.00910803	0.0190297	-0.022803
PD6720a	-0.00751519	0.0054857	-0.00348985
PD6722a	0.030642	-0.00521606	-0.00931516
PD6727a	-0.00687313	-0.00558325	0.00985259
PD6729a	-0.0050003	-0.0058916	0.00886065
PD7199a	0.0566462	0.000218206	-0.00635444
PD7201a	-0.00531264	-0.0034633	0.00898829
PD7206a	-0.00215566	-0.0100516	0.0125659
PD7207a	-0.00422464	-0.0122354	0.0121286
PD7209a	-0.00507702	-0.000112422	0.0121257
PD7210a	-0.00410851	-0.000432283	0.0127045
PD7211a	0.000141814	-0.0182307	0.00577919
PD7214a	-0.00579436	-0.00395281	0.00854058
PD7215a	-0.00447236	-0.0114504	0.00846025
PD7217a	-0.00327449	-0.0112258	0.00866163
PD7218a	-0.00571849	-0.00917711	0.00929824
PD7219a	-0.00496602	-0.00688337	0.00950633
PD7221a	-0.00514192	-0.0104907	0.00580839
PD7238a	-0.00464714	-0.00972863	0.00868566
PD7240a	-0.00926346	0.00357326	-0.00682627
PD7243a	-0.00264033	-0.0143217	0.00146136
PD7304a	-8.52806e-05	0.0314773	-0.0218706
PD7322a	-0.00642497	-0.00364492	0.00568388
PD8609a	0.000762117	-0.00156872	0.010142
PD8610a	-0.00438306	-0.00505259	0.00333126
PD8611a	-0.00485711	-0.00907114	0.00397942
PD8612a	-0.00259476	-0.00927347	0.00579044
PD8614a	-0.00517958	-0.00962772	0.00642012
PD8615a	-0.00718646	-0.00082291	0.000762178
PD8617a	0.00405187	0.0112267	0.00908828
PD8618a	-0.004959	-0.00340303	0.00768746
PD8619a	-0.00109166	0.00993228	0.000221771
PD8620a	-0.00758935	-0.00226362	0.00539141
PD8622a	-0.00432347	-0.00683409	0.0100522
PD8623a	0.000718244	-0.00253929	0.0148368
PD8828a	-0.00595999	-0.00628266	0.00916245
PD8832a	0.0421224	-0.00975303	-0.00298214
PD8964a	0.0539724	-0.0194149	-0.00975704
PD8965a	-0.00577512	0.00269203	-0.0147839
PD8969a	-0.00852103	0.00925385	-0.0205847
PD8973a	-0.00562515	0.000252804	0.00233289
PD8977a	-0.0007473	-0.00408824	0.00349519
PD8978a	-0.00108738	-0.00595604	-0.0159574
PD8979a	-0.0154493	0.0498968	-0.0385983
PD8981a	0.00351334	0.0146405	-0.0289427
PD8984a	-0.00135696	-0.0181099	0.00939495
PD8999a	0.00102416	-0.00688775	0.00908619
PD9000a	-0.00204472	-0.0191844	0.00727256
PD9001a	-0.00533084	0.00715694	-0.00498459
PD9004a	0.000221382	-0.0205445	0.0127281
PD9063a	-0.00775078	0.000274909	0.00586204
PD9065a	-0.00507009	0.00476026	-0.00663284
PD9067a	0.00348094	0.012598	-0.00124739
PD9193a	-0.00198462	0.00137175	0.0115422
PD9464a	0.00143099	-0.0220286	0.000246873
PD9539a	-0.0120701	0.022964	-0.0349789
PD9541a	-0.0156204	0.0369978	-0.0385821
PD9544a	-0.0115175	0.0170705	-0.0188171
PD9567a	-0.00191176	-0.0129764	0.00581506
PD9569a	-0.00328081	-0.0032377	0.00862934
PD9570a	-0.00522388	-0.00201665	0.00589155
PD9571a	0.00684979	-0.0276059	0.00303329
PD9572a	-0.00290026	-0.0022883	0.00514146
PD9573a	-0.00217456	-0.00131843	0.00746316
PD9574a	-0.00442076	-0.00495419	0.00515169
PD9577a	-0.0068011	0.0248067	-0.0201496
PD9578a	-0.00794417	0.00674447	-0.00253722
PD9582a	-0.00868623	0.0209134	-0.026009
PD9589a	-0.00351465	0.000493711	0.00945467
PD9591a	-0.00473007	-0.00434007	0.00708389
PD9592a	-0.000673533	-0.0213454	0.00714492
PD9593a	-0.0157714	0.0374462	-0.0353404
PD9595a	0.000585593	-0.0225234	0.00454504
PD9600a	-0.00918312	0.0107796	-0.00888647
PD9604a	0.00898184	-0.00749139	0.0160189
PD9606a	0.00103815	-0.00416333	0.00262613
PD9694a	0.000962411	-0.00481887	0.0100404
PD9752a	-0.00757062	0.0180866	-0.0229502
PD9754a	-0.00889354	0.00515894	-0.00988764
PD9755a	-0.00844912	0.0365737	-0.0315547
PD9756a	-0.0136689	0.0309931	-0.0345444
PD9759a	-0.00846133	0.0190812	-0.0264479
PD9760a	-0.00349792	-0.0107287	-0.00324106
PD9761a	-0.00839134	0.0131176	-0.0118052
PD9845a	0.00335279	0.0290464	0.00105674
